文件,词,引语(±40字)
688195__em_腾景科技_em__2025_腾景科技2025年年度报告.pdf,陶瓷插芯,的光纤耦合，具备高功率镀膜光纤器件激光耐受能力；光纤头是在镀膜光纤线的一端装配上陶瓷插芯或毛细管形成的组合件，可用于激光的耦合传输公司的准直器产品主要应用于光通信、光纤
688195__em_腾景科技_em__2025_腾景科技2025年年度报告.pdf,光隔离器,主要为钒酸钇(YVO4)单晶，主要应用于光通信、光纤激光、量子信息科研等领域，是光隔离器、晶体材料环形器、偏振器中的关键材料，用于实现光的特定偏振态控制、激光调制；其中
688195__em_腾景科技_em__2025_腾景科技2025年年度报告.pdf,隔离器,体产品主要包括钒酸钇（YVO4）等钒酸钇晶体，是一种性能优良的双折射晶体，适用于隔离器、YVO4指环行器和偏振器件激光是指物质受辐射而产生的光，具有良好的单色性、相干
688195__em_腾景科技_em__2025_腾景科技2025年年度报告.pdf,隔离器,要为钒酸钇(YVO4)单晶，主要应用于光通信、光纤激光、量子信息科研等领域，是光隔离器、晶体材料环形器、偏振器中的关键材料，用于实现光的特定偏振态控制、激光调制；其中
688195__em_腾景科技_em__2025_腾景科技2025年年度报告.pdf,隔离器,腾景科技股份有限公司2025年年度报告在光纤激光器中，其关键的光纤器件包括泵源、隔离器、声光器件、合束器等。公司的反射镜、快轴准直透镜（FAC）、慢轴准直透镜（SAC
300548__em_长芯博创_em__2025_2025年年度报告.pdf,阵列波导光栅,子器件的一种技术平台用于密集波分复用系统中的光电器DWDM器件指件，包括AWG（阵列波导光栅）、VMUX（可调光功率波分复用器）等ArrayedWaveguideGrati
300548__em_长芯博创_em__2025_2025年年度报告.pdf,阵列波导光栅,MUX（可调光功率波分复用器）等ArrayedWaveguideGrating，阵列波导光栅，是实现波分复用技术中不同AWG指信号波长复用及解复用的平面光波导器件可调光功率
300548__em_长芯博创_em__2025_2025年年度报告.pdf,阵列波导光栅,光纤接入网（PON）光收发模块、用于骨干网和城域网密集波分复用（DWDM）系统的阵列波导光栅（AWG）和可调光功率波分复用器（VMUX）、用于无线承载网的前传、中回传光收发
300548__em_长芯博创_em__2025_2025年年度报告.pdf,AWG,集成光电子器件的一种技术平台用于密集波分复用系统中的光电器DWDM器件指件，包括AWG（阵列波导光栅）、VMUX（可调光功率波分复用器）等ArrayedWavegui
300548__em_长芯博创_em__2025_2025年年度报告.pdf,AWG,ayedWaveguideGrating，阵列波导光栅，是实现波分复用技术中不同AWG指信号波长复用及解复用的平面光波导器件可调光功率波分复用器，也称信道光VMUX指
300548__em_长芯博创_em__2025_2025年年度报告.pdf,AWG,ON）光收发模块、用于骨干网和城域网密集波分复用（DWDM）系统的阵列波导光栅（AWG）和可调光功率波分复用器（VMUX）、用于无线承载网的前传、中回传光收发模块，用
300548__em_长芯博创_em__2025_2025年年度报告.pdf,光纤阵列,模块，用于光功率衰减的MEMS可调光衰减器（VOA）以及广泛应用于各种光器件中的光纤阵列等；应用于数据通信、消费及工业互联市场的产品包括用于数据中心内部互联的光模块，无
300548__em_长芯博创_em__2025_2025年年度报告.pdf,光纤阵列,基于平面光波导技术开发的，可将一个光信PLC光分路器号分成两路或多路光信号的器件光纤阵列一根或多根光纤按精确间距排列的元件用于密集波分复用系统中的光电器件，包括密集波分
688307__em_中润光学_em__2025_2025年年度报告.pdf,阵列波导光栅,跨大洋的海底光缆，光信号的产生（激光器芯片）、调制（电光调制器）、复用/解复用（阵列波导光栅）、放大（掺铒光纤放大器）、传输（低损耗光纤）及接收（光电探测器），每一个环节都
688307__em_中润光学_em__2025_2025年年度报告.pdf,隔离器,中润光学科技股份有限公司2025年年度报告支撑高端激光应用市场拓展。本项目拟攻克隔离器、声光调制器、光开关、高功率光学元件等核心器件技术，实现中高功率激光系统关键部件
300975__em_商络电子_em__2025_2025年年度报告.pdf,TIA,中国地区SoC产品授权经销商同意立功创新有权非独家的以自己名义在中国大陆投标、分TIANMA（天125天马微电子股份有限公司销、推广和销售采购天马的专业显示产品线定制
