hit_id,公司,cell_id,来源,引语或线索摘要,处置,理由,会话日期
华海清科+ANY+688120__em_华海清科_em__2025_2025年年度报告.pdf,华海清科,ANY,扫描,CMP/减薄设备商，命中'抛光模块''涂胶显影'为设备描述与行业叙述，全语料无光通信/光器件应用自述，EQ加严不过（相邻能力观察）,驳回-证据不足,CMP/减薄设备商，命中'抛光模块''涂胶显影'为设备描述与行业叙述，全语料无光通信/光器件应用自述，EQ加严不过（相邻能力观察）,2026-07-26
华润微+ANY+688396__em_华润微_em__2025_2025年年度报告.pdf,华润微,ANY,扫描,功率半导体/光耦(隔离器件)异业撞词；'光刻机及Track''铝线键合机'为在建工程采购设备非造设备；'传感器及光芯片三条业务增长曲线'为战略布局表述无产品量产(可重启:光通信用光,驳回-非本格,功率半导体/光耦(隔离器件)异业撞词；'光刻机及Track''铝线键合机'为在建工程采购设备非造设备；'传感器及光芯片三条业务增长曲线'为战略布局表述无产品量产(可重启:光通信用光芯片产品量产披露),2026-07-26
华灿光电+ANY+300323__em_华灿光电_em__2025_2025年年度报告.pdf,华灿光电,ANY,扫描,引语'京东方华灿将正式开启MicroLED光模块的研发与生产布局，研制适用于智算中心的低功耗、高带宽、高可靠性光互连模块'为启动研发布局（将来时），未达在建产线标准；其余命中为LE,驳回-证据不足,引语'京东方华灿将正式开启MicroLED光模块的研发与生产布局，研制适用于智算中心的低功耗、高带宽、高可靠性光互连模块'为启动研发布局（将来时），未达在建产线标准；其余命中为LED异业。可重启条件：披露MicroLED,2026-07-26
华脉科技+ANY+603042__em_华脉科技_em__2025_2025年年度报告.pdf,华脉科技,ANY,扫描,ODN配线/机柜/光缆厂商；D6隔离器命中系'光无源器件'释义表总称列举，非自家光隔离器产品主张；其余命中为行业统计与产品域外(ODN配线不占39格),驳回-非本格,ODN配线/机柜/光缆厂商；D6隔离器命中系'光无源器件'释义表总称列举，非自家光隔离器产品主张；其余命中为行业统计与产品域外(ODN配线不占39格),2026-07-26
协和电子+EQ6+605258__em_协和电子_em__2025_2025年年度报告.pdf,协和电子,EQ6,扫描,EQ6命中为固定资产/在建工程购置'自动光学检测设备(3D AOI ZenithL)'，属买设备用于自家PCB产线，非造检测设备,驳回-非本格,EQ6命中为固定资产/在建工程购置'自动光学检测设备(3D AOI ZenithL)'，属买设备用于自家PCB产线，非造检测设备,2026-07-26
南大光电+C2+300346__em_南大光电_em__2025_2025年年度报告.pdf,南大光电,M3,扫描,"""MO源系列产品是制备LED、新一代太阳能电池、相变存储器、半导体激光器、射频集成电路芯片等产品的核心原材料，在半导体照明、信息通讯等领域有极""",已入点,入1格:M3,2026-07-26
南极光+ANY+300940__em_南极光_em__2025_2025年年度报告.pdf,南极光,ANY,扫描,"背光显示模组主业；AOI背光缺陷检测机、激光刻蚀设备均为自有产线'拥有/配备'=用设备非造设备；'密切关注…光模块等前沿方向,适时推进布局'为展望(可重启:光模块业务实际落地)",驳回-非本格,"背光显示模组主业；AOI背光缺陷检测机、激光刻蚀设备均为自有产线'拥有/配备'=用设备非造设备；'密切关注…光模块等前沿方向,适时推进布局'为展望(可重启:光模块业务实际落地)",2026-07-26
博敏电子+B1+603936__em_博敏电子_em__2025_博敏电子2025年年度报告.p,博敏电子,B1,扫描,"(草案入点,全部格已在册)",已入点,"已在册1格,本轮确认",2026-07-26
同兴达+D7+002845__em_同兴达_em__2025_2025年年度报告.pdf,同兴达,D7,扫描,显示模组/摄像头模组企业，'微光学路径补偿模块'为前置摄像头模组AA调校技术，消费电子成像语义撞词,驳回-非本格,显示模组/摄像头模组企业，'微光学路径补偿模块'为前置摄像头模组AA调校技术，消费电子成像语义撞词,2026-07-26
和林微纳+EQ7+688661__em_和林微纳_em__2025_2025年年度报告.pdf,和林微纳,EQ7,扫描,MEMS探针/测试座为IC测试系统部件，非测试仪器整机且无光通信应用自述（EQ加严：相邻能力观察）,驳回-证据不足,MEMS探针/测试座为IC测试系统部件，非测试仪器整机且无光通信应用自述（EQ加严：相邻能力观察）,2026-07-26
和辉光电+ANY+688538__em_和辉光电_em__2025_上海和辉光电股份有限公司202,和辉光电,ANY,扫描,AMOLED面板厂，刻蚀设备命中为进口采购设备风险提示（用它非造它），显示异业撞词,驳回-非本格,AMOLED面板厂，刻蚀设备命中为进口采购设备风险提示（用它非造它），显示异业撞词,2026-07-26
商络电子+ANY+300975__em_商络电子_em__2025_2025年年度报告.pdf,商络电子,ANY,扫描,电子元器件分销商，命中为释义表对中际旭创/新易盛/天孚等客户的定义条目，分销不构成树内制造能力格,驳回-非本格,电子元器件分销商，命中为释义表对中际旭创/新易盛/天孚等客户的定义条目，分销不构成树内制造能力格,2026-07-26
四会富仕+B1+300852__em_四会富仕_em__2025_2025年年度报告.pdf,四会富仕,B1,扫描,"(草案入点,全部格已在册)",已入点,"已在册1格,本轮确认",2026-07-26
国星光电+ANY+002449__em_国星光电_em__2025_2025年年度报告.pdf,国星光电,ANY,扫描,命中'量子点发光器件'专利为LED显示器件，异业撞词（发光器件≠光通信器件）,驳回-非本格,命中'量子点发光器件'专利为LED显示器件，异业撞词（发光器件≠光通信器件）,2026-07-26
大富科技+B2+300134__em_大富科技_em__2025_2025年年度报告.pdf,大富科技,B2,扫描,主业基站射频器件/结构件与MIM工艺，B2命中的金属注射成形与光模块结构件无关,驳回-非本格,主业基站射频器件/结构件与MIM工艺，B2命中的金属注射成形与光模块结构件无关,2026-07-26
大港股份+EQ7+002077__em_大港股份_em__2025_2025年年度报告.pdf,大港股份,EQ7,扫描,上海旻艾为第三方IC测试服务商，ATE/分选机为其采购使用的测试设备（用它者非造它者），且无光芯片/光模块测试场景自述,驳回-非本格,上海旻艾为第三方IC测试服务商，ATE/分选机为其采购使用的测试设备（用它者非造它者），且无光芯片/光模块测试场景自述,2026-07-26
天准科技+EQ2+688003__em_天准科技_em__2024_2024年年度报告.pdf,天准科技,EQ2,扫描,AOI/视觉检测装备面向PCB/光伏，激光直写光刻设备面向IC载板，均无光通信应用自述（EQ加严：相邻能力观察）；晶圆缺陷检测为参股公司矽行能力不算自家。可重启条件：设备获光通信/,驳回-证据不足,AOI/视觉检测装备面向PCB/光伏，激光直写光刻设备面向IC载板，均无光通信应用自述（EQ加严：相邻能力观察）；晶圆缺陷检测为参股公司矽行能力不算自家。可重启条件：设备获光通信/光器件客户应用披露,2026-07-26
天孚通信+C1+300394__em_天孚通信_em__2025_2025年年度报告.pdf,天孚通信,D7,扫描,"""在无源器件方面，公司持续研发升级波分复用器件、高密度连接器及微光学组件等高精密无源产品，助力客户新产品交付。""",已入点,"入3格:D7,D8,D9",2026-07-26
天岳先进+ANY+688234__em_天岳先进_em__2025_山东天岳先进科技股份有限公司2,天岳先进,ANY,扫描,'公司目前已成功将半绝缘碳化硅衬底应用于高功率激光器芯片的散热层，并已形成批量出货'——批量出货成立，但①'高功率激光器'更似工业激光非光模块光源，②散热用SiC落M4还是不入格未,驳回-非本格,"驳回-非本格:半绝缘SiC衬底用于高功率激光器芯片散热层且批量出货,但高功率激光器属工业激光非光模块光源;可重启:光模块激光器散热证据",2026-07-30
天津普林+ANY+002134__em_天津普林_em__2025_2025年年度报告.pdf,天津普林,ANY,扫描,光模块命中为PCB行业景气展望（增长主线列举），无自家光模块PCB产品/客户主张。可重启条件：光模块PCB量产或客户披露,驳回-证据不足,光模块命中为PCB行业景气展望（增长主线列举），无自家光模块PCB产品/客户主张。可重启条件：光模块PCB量产或客户披露,2026-07-26
天邑股份+ANY+300504__em_天邑股份_em__2025_2025年年度报告.pdf,天邑股份,ANY,扫描,PON接入终端设备商；唯一'光模块'命中为终端管理软件监控'光模块温度，电流，电压'=使用内置光模块非自产；GPON为产品名(终端设备)与释义,驳回-非本格,PON接入终端设备商；唯一'光模块'命中为终端管理软件监控'光模块温度，电流，电压'=使用内置光模块非自产；GPON为产品名(终端设备)与释义,2026-07-26
太辰光+D10+300570__em_太辰光_em__2025_2025年年度报告.pdf,太辰光,D9,扫描,"""分步增加生产场地及扩大生产规模，主要包括陶瓷插芯、MPO及常规跳线、MMC及MDC高密连接器、模块跳线等""",已入点,入1格:D9,2026-07-26
奥来德+ANY+688378__em_奥来德_em__2025_2025年年度报告.pdf,奥来德,ANY,扫描,OLED发光材料与蒸发源设备主业，光器件命中为OLED叠层发光器件(显示异业),驳回-非本格,OLED发光材料与蒸发源设备主业，光器件命中为OLED叠层发光器件(显示异业),2026-07-26
奥比中光+ANY+688322__em_奥比中光_em__2025_2025年年度报告.pdf,奥比中光,ANY,扫描,主业3D视觉传感；SPAD/雪崩光电二极管命中为释义表条目，感光芯片为采购物料（买它）,驳回-非本格,主业3D视觉传感；SPAD/雪崩光电二极管命中为释义表条目，感光芯片为采购物料（买它）,2026-07-26
威尔高+ANY+301251__em_威尔高_em__2025_2025年年度报告.pdf,威尔高,B1,扫描,"""公司主营业务是印制电路板的研发、生产和销售，产品类型包括高多层厚铜HDI板（电机、电控、电源）、MiniLED光电板、平面变压器、光模块等""",已入点,入1格:B1,2026-07-26
安凯微+EQ6+688620__em_安凯微_em__2025_广州安凯微电子股份有限公司202,安凯微,EQ6,扫描,AI SoC芯片设计；'缺陷检测'为其芯片赋能的工业视觉下游场景，与EQ6光学检测设备无关,驳回-非本格,AI SoC芯片设计；'缺陷检测'为其芯片赋能的工业视觉下游场景，与EQ6光学检测设备无关,2026-07-26
富乐德+ANY+301297__em_富乐德_em__2025_2025年年度报告.pdf,富乐德,ANY,扫描,主业为泛半导体设备精密洗净服务+覆铜陶瓷载板；刻蚀/光刻/外延命中均为洗净服务对象设备（用它者非造它者）；DPC陶瓷载板现应用为激光制冷器，光通信仅'广阔应用前景'；宽禁带复合外延,驳回-证据不足,主业为泛半导体设备精密洗净服务+覆铜陶瓷载板；刻蚀/光刻/外延命中均为洗净服务对象设备（用它者非造它者）；DPC陶瓷载板现应用为激光制冷器，光通信仅'广阔应用前景'；宽禁带复合外延衬底为GaN方向且研发未结案。可重启条件,2026-07-26
富创精密+EQ2+688409__em_富创精密_em__2025_2025年年度报告.pdf,富创精密,EQ2,扫描,半导体设备精密零部件（刻蚀腔零部件涂层等），服务前道IC设备厂，非设备整机亦无光通信场景（相邻能力观察）；M2a外延命中为释义表,驳回-证据不足,半导体设备精密零部件（刻蚀腔零部件涂层等），服务前道IC设备厂，非设备整机亦无光通信场景（相邻能力观察）；M2a外延命中为释义表,2026-07-26
富士达+B2+920640__em_富士达_em__2025年年度报告.pdf,富士达,B2,扫描,"""主要产品类型为陶瓷封装管壳和陶瓷多层基板，封装管壳包括应用于航空航天、光先进CSMD、CSOP、通信、汽车电子、高陶瓷CBGA、CQFN、端""",已入点,入1格:B2,2026-07-26
屹唐股份+EQ2+688729__em_屹唐股份_em__2025_2025年年度报告.pdf,屹唐股份,EQ2,扫描,干法去胶/刻蚀设备面向集成电路晶圆制造，无光通信/III-V应用自述，EQ2加严不满足。相邻能力观察,驳回-证据不足,干法去胶/刻蚀设备面向集成电路晶圆制造，无光通信/III-V应用自述，EQ2加严不满足。相邻能力观察,2026-07-26
崇达技术+ANY+002815__em_崇达技术_em__2025_2025年年度报告.pdf,崇达技术,ANY,扫描,命中均为行业段落(HDI市场需求来自高速光模块400G/800G)，无自家光模块PCB供货主张。可重启条件:自述光模块/高速板批量供货(B1),驳回-证据不足,命中均为行业段落(HDI市场需求来自高速光模块400G/800G)，无自家光模块PCB供货主张。可重启条件:自述光模块/高速板批量供货(B1),2026-07-26
帝奥微+C1+688381__em_帝奥微_em__2025_2025年年度报告.pdf,帝奥微,C1,扫描,光模块用产品为模拟前端AFE（DAC/ADC）与电源管理芯片，不在C5枚举（DSP/Driver/TIA/CDR/主控MCU）内；'先进的EML与硅光AFE'为'还将持续推出'的展,驳回-非本格,光模块用产品为模拟前端AFE（DAC/ADC）与电源管理芯片，不在C5枚举（DSP/Driver/TIA/CDR/主控MCU）内；'先进的EML与硅光AFE'为'还将持续推出'的展望。若C5格定义放宽至光模块辅助电芯片可,2026-07-26
广合科技+ANY+001389__em_广合科技_em__2025_2025年年度报告.pdf,广合科技,ANY,扫描,服务器PCB厂商；命中全部为释义表(224G/1.6T光模块术语)；'重点对...光模块...组织技术研发和产品开发'为未来展望。可重启条件：披露光模块PCB批量供货或相关收入,驳回-证据不足,服务器PCB厂商；命中全部为释义表(224G/1.6T光模块术语)；'重点对...光模块...组织技术研发和产品开发'为未来展望。可重启条件：披露光模块PCB批量供货或相关收入,2026-07-26
康希通信+MOD3+688653__em_康希通信_em__2025_康希通信2025年年度报告.p,康希通信,MOD3,扫描,WiFi射频前端芯片(FEM)企业，GPON/10GPON/50GPON命中均为宽带接入行业政策叙述，非自家产品主张,驳回-非本格,WiFi射频前端芯片(FEM)企业，GPON/10GPON/50GPON命中均为宽带接入行业政策叙述，非自家产品主张,2026-07-26
弘信电子+ANY+300657__em_弘信电子_em__2025_2025年年度报告.pdf,弘信电子,ANY,扫描,光模块命中为与上游供应商'联合创新协同研发'关键技术列举，非自家产品；EQ6为自研FPC用AOI检测装置(自用+FPC域),驳回-非本格,光模块命中为与上游供应商'联合创新协同研发'关键技术列举，非自家产品；EQ6为自研FPC用AOI检测装置(自用+FPC域),2026-07-26
弘景光电+C1+301479__em_弘景光电_em__2025_2025年年度报告.pdf,弘景光电,C1,扫描,FA-MT/多芯FA为研发项目'试样方案'阶段，EQ6 AOI为自研检测项目（自用），EML/隔离器为市场需求描述。可重启条件：FA产品量产出货披露,驳回-证据不足,FA-MT/多芯FA为研发项目'试样方案'阶段，EQ6 AOI为自研检测项目（自用），EML/隔离器为市场需求描述。可重启条件：FA产品量产出货披露,2026-07-26
强一股份+ANY+688809__em_强一股份_em__2025_2025年年度报告.pdf,强一股份,ANY,扫描,探针卡厂商；'硅光子芯片测试'系竞争对手旺矽科技简介，光刻机/刻蚀机为行业进入门槛叙述(买设备)，均非自家39格能力,驳回-非本格,探针卡厂商；'硅光子芯片测试'系竞争对手旺矽科技简介，光刻机/刻蚀机为行业进入门槛叙述(买设备)，均非自家39格能力,2026-07-26
688205+C1+688205_德科立_2025年年度报告.pdf,德科立,MOD3,扫描,"""电信传输类光收发模块包括从155M、1.25G、10G、100G到400G及以上速率相干和非相干光收发模块，支持10km、40km、80km""",已入点,"入2格:MOD3,D3",2026-07-26
思林杰+EQ7+688115__em_思林杰_em__2024_2024年年度报告.pdf,思林杰,EQ7,扫描,嵌入式测试模块面向消费电子产线，误码/眼图为通用FPGA接口测试功能，无光通信/光模块测试应用自述，EQ7加严不满足。相邻能力观察,驳回-证据不足,嵌入式测试模块面向消费电子产线，误码/眼图为通用FPGA接口测试功能，无光通信/光模块测试应用自述，EQ7加严不满足。相邻能力观察,2026-07-26
思瑞浦+ANY+688536__em_思瑞浦_em__2025_2025年年度报告.pdf,思瑞浦,C5,扫描,"""光模块控制芯片主要用于激光器和调制器的电压、电流偏置""",已入点,入1格:C5,2026-07-26
恒坤新材+M2a+688727__em_恒坤新材_em__2025_2025年年度报告.pdf,恒坤新材,M2a,扫描,光刻材料/前驱体面向12英寸IC制造，外延命中为释义表；M3光刻耗材字面相近但无光芯片/III-V场景（相邻能力观察）。可重启条件：材料进入光芯片制造供应链披露,驳回-证据不足,光刻材料/前驱体面向12英寸IC制造，外延命中为释义表；M3光刻耗材字面相近但无光芯片/III-V场景（相邻能力观察）。可重启条件：材料进入光芯片制造供应链披露,2026-07-26
恒运昌+EQ2+688785__em_恒运昌_em__2025_恒运昌：2025年年度报告.pd,恒运昌,EQ2,扫描,自产为等离子体射频电源系统及配件，供半导体刻蚀/沉积设备使用，系设备零部件商，非EQ2光刻/刻蚀设备商，亦无光通信应用,驳回-非本格,自产为等离子体射频电源系统及配件，供半导体刻蚀/沉积设备使用，系设备零部件商，非EQ2光刻/刻蚀设备商，亦无光通信应用,2026-07-26
意华股份+ANY+002897__em_意华股份_em__2025_2025年年度报告.pdf,意华股份,B2,扫描,"""公司具备高速光模块精密壳体及散热组件研发及批量交付能力，研发及生产的QSFP/OSFP等800G/1.6T高速模块壳体已大批量交付海思等光模""",已入点,入1格:B2,2026-07-26
拓荆科技+EQ2+688072__em_拓荆科技_em__2025_2025年年度报告.pdf,拓荆科技,EQ2,扫描,"P113@EQ5已入册(硅光应用+收入订单闭环引语),草案加严异议存档",已入点,"P113@EQ5已入册(硅光应用+收入订单闭环引语),草案加严异议存档",2026-07-26
捷捷微电+D6+300623__em_捷捷微电_em__2025_2025年年度报告.pdf,捷捷微电,D6,扫描,'光电隔离器件'为光耦（信号隔离），与D6光隔离器（磁光无源器件）异物撞词,驳回-非本格,'光电隔离器件'为光耦（信号隔离），与D6光隔离器（磁光无源器件）异物撞词,2026-07-26
斯瑞新材+B2+688102__em_斯瑞新材_em__2025_2025年年度报告.pdf,斯瑞新材,B2,扫描,"(草案入点,全部格已在册)",已入点,"已在册1格,本轮确认",2026-07-26
新恒汇+EQ2+301678__em_新恒汇_em__2025_2025年年度报告.pdf,新恒汇,EQ2,扫描,智能卡柔性引线框架/eSIM封测主业；'卷式无掩膜激光直写曝光技术'为自用工艺非售设备；光刻机命中为封测行业链条描述,驳回-非本格,智能卡柔性引线框架/eSIM封测主业；'卷式无掩膜激光直写曝光技术'为自用工艺非售设备；光刻机命中为封测行业链条描述,2026-07-26
新易盛+C1+300502__em_新易盛_em__2025_2025年年度报告.pdf,新易盛,C1,扫描,"(草案入点,全部格已在册)",已入点,"已在册1格,本轮确认",2026-07-26
新益昌+EQ2+688383__em_新益昌_em__2024_深圳新益昌科技股份有限公司202,新益昌,EQ2,扫描,EQ3固晶机/EQ5焊线机/EQ7老化测试机均为LED、IC、电容器应用自述，语料内无光通信/光器件客户或应用；EQ格加严下属相邻能力观察。可重启条件：披露光芯片共晶固晶或光通信客,驳回-证据不足,EQ3固晶机/EQ5焊线机/EQ7老化测试机均为LED、IC、电容器应用自述，语料内无光通信/光器件客户或应用；EQ格加严下属相邻能力观察。可重启条件：披露光芯片共晶固晶或光通信客户,2026-07-26
方正科技+ANY+600601__em_方正科技_em__2025_方正科技2025年年度报告.p,方正科技,B1,扫描,"""高层高阶UHD产品已通过头部厂商认证并批量交付，应用于800G及1.6T高端光模块产品已完成技术迭代与批量生产""",已入点,入1格:B1,2026-07-26
方邦股份+ANY+688020__em_方邦股份_em__2025_2025年年度报告.pdf,方邦股份,ANY,扫描,光模块命中为PCB行业需求叙述；可剥铜'推进…向光模块等应用场景的渗透，尽快实现订单爬坡'为拓展目标未落地。可重启条件：光模块应用材料订单/量产披露,驳回-证据不足,光模块命中为PCB行业需求叙述；可剥铜'推进…向光模块等应用场景的渗透，尽快实现订单爬坡'为拓展目标未落地。可重启条件：光模块应用材料订单/量产披露,2026-07-26
日久光电+ANY+003015__em_日久光电_em__2025_2025年年度报告.pdf,日久光电,ANY,扫描,ITO导电膜用于'调光器件、触摸屏器件'，撞词，消费电子异业,驳回-非本格,ITO导电膜用于'调光器件、触摸屏器件'，撞词，消费电子异业,2026-07-26
日海智能+ANY+002313__em_日海智能_em__2025_2025年年度报告.pdf,日海智能,ANY,扫描,800G/GPON命中均为赛迪智库行业叙述（万兆光网背景），公司主业为无线通信模组与通服工程，无自家光模块/接入光器件产品主张。可重启条件：其通信设备业务披露光模块类产品出货,驳回-证据不足,800G/GPON命中均为赛迪智库行业叙述（万兆光网背景），公司主业为无线通信模组与通服工程，无自家光模块/接入光器件产品主张。可重启条件：其通信设备业务披露光模块类产品出货,2026-07-26
昂瑞微+ANY+688790__em_昂瑞微_em__2025_北京昂瑞微电子技术股份有限公司2,昂瑞微,ANY,扫描,命中'MACPOR'为芯片框图字符串子串撞词（MAC+POR），与CPO无关；主业射频前端,驳回-非本格,命中'MACPOR'为芯片框图字符串子串撞词（MAC+POR），与CPO无关；主业射频前端,2026-07-26
明微电子+ANY+688699__em_明微电子_em__2025_2025年年度报告.pdf,明微电子,ANY,扫描,LED显示/照明驱动芯片，命中为'调光模块''发光器件'撞词，与光通信无关,驳回-非本格,LED显示/照明驱动芯片，命中为'调光模块''发光器件'撞词，与光通信无关,2026-07-26
明阳电路+ANY+300739__em_明阳电路_em__2025_2025年年度报告.pdf,明阳电路,B1,扫描,"""目前，高速服务器、AI加速卡、800G光模块产品已经进入小批量阶段""",已入点,入1格:B1,2026-07-26
星网锐捷+ANY+002396__em_星网锐捷_em__2025_2025年年度报告.pdf,星网锐捷,ANY,扫描,"MOD1:与子公司锐捷网络同句证据(推出1.6T/800G光模块),系统商自产/ODM存疑,母子一致降待判",驳回-碰撞,"实体归并:并表子公司锐捷网络P187@MOD1在册,母公司不重复立点(同星网锐捷+MOD1+qa2026-05碰撞先例)",2026-07-30
普冉股份+ANY+688766__em_普冉股份_em__2025_普冉半导体（上海）股份有限公司,普冉股份,ANY,扫描,NOR Flash应用领域列举含光模块，但存储芯片不在C5格枚举（DSP/Driver/TIA/CDR/主控MCU）内；可作观察不入格,驳回-非本格,NOR Flash应用领域列举含光模块，但存储芯片不在C5格枚举（DSP/Driver/TIA/CDR/主控MCU）内；可作观察不入格,2026-07-26
景旺电子+B1+603228__em_景旺电子_em__2025_深圳市景旺电子股份有限公司20,景旺电子,B1,扫描,"(草案入点,全部格已在册)",已入点,"已在册1格,本轮确认",2026-07-26
晶升股份+EQ1+688478__em_晶升股份_em__2025_南京晶升装备股份有限公司202,晶升股份,EQ1,扫描,"EQ1外延设备能力属实但为碳化硅外延炉(6-8英寸SiC外延片,功率半导体应用)，非光通信III-V/MOCVD；设备格加严不入。可重启条件：披露InP/GaAs外延设备或光通信客",驳回-证据不足,"EQ1外延设备能力属实但为碳化硅外延炉(6-8英寸SiC外延片,功率半导体应用)，非光通信III-V/MOCVD；设备格加严不入。可重启条件：披露InP/GaAs外延设备或光通信客户",2026-07-26
晶方科技+ANY+603005__em_晶方科技_em__2025_晶方科技2025年年度报告.p,晶方科技,ANY,扫描,光模块/光通信命中均为行业展望与下游行业列举，主业为影像传感器封装，语料内无光电类封装业务主张。可重启条件：光芯片/光模块相关封装订单披露,驳回-证据不足,光模块/光通信命中均为行业展望与下游行业列举，主业为影像传感器封装，语料内无光电类封装业务主张。可重启条件：光芯片/光模块相关封装订单披露,2026-07-26
晶晨股份+ANY+688099__em_晶晨股份_em__2025_晶晨股份2025年年度报告.p,晶晨股份,ANY,扫描,FTTR OLT芯片为接入网主控SoC，非光模块内电芯片(C5枚举DSP/Driver/TIA/CDR/主控MCU指模块内)，且状态为'已开发/FTTR网关项目开案中'；'蜂窝+光,驳回-非本格,FTTR OLT芯片为接入网主控SoC，非光模块内电芯片(C5枚举DSP/Driver/TIA/CDR/主控MCU指模块内)，且状态为'已开发/FTTR网关项目开案中'；'蜂窝+光通信+Wi-Fi技术栈'为收购芯迈微后的,2026-07-26
晶赛科技+ANY+920981__em_晶赛科技_em__2025年年度报告.pdf,晶赛科技,ANY,扫描,石英晶振主业；'光模块、光通讯等应用场景…迎来发展机遇'为行业展望列举；tree的M4'石英'指结构无源材料非晶振,驳回-非本格,石英晶振主业；'光模块、光通讯等应用场景…迎来发展机遇'为行业展望列举；tree的M4'石英'指结构无源材料非晶振,2026-07-26
有研硅+EQ2+688432__em_有研硅_em__2025_有研硅2025年年度报告.pdf,有研硅,EQ2,扫描,半导体硅抛光片与刻蚀设备用硅材料/零部件，服务Si集成电路刻蚀腔体(向刻蚀设备部件商卖材料)，与光模块产业EQ2/M系格不相干,驳回-非本格,半导体硅抛光片与刻蚀设备用硅材料/零部件，服务Si集成电路刻蚀腔体(向刻蚀设备部件商卖材料)，与光模块产业EQ2/M系格不相干,2026-07-26
杰华特+ANY+688141__em_杰华特_em__2025_2025年年度报告.pdf,杰华特,ANY,扫描,模拟/电源管理芯片厂商，光模块命中为通信行业趋势展望('随着5.5G、6G和高速光模块等技术加速演进')，电源管理芯片不在C5枚举(DSP/Driver/TIA/CDR/主控MCU,驳回-非本格,模拟/电源管理芯片厂商，光模块命中为通信行业趋势展望('随着5.5G、6G和高速光模块等技术加速演进')，电源管理芯片不在C5枚举(DSP/Driver/TIA/CDR/主控MCU),2026-07-26
武汉凡谷+B2+002194__em_武汉凡谷_em__2025_2025年年度报告.pdf,武汉凡谷,B2,扫描,B2/D4方向真实但未到量产：研发支出项目'封装管壳400G传输技术'(403.7万元)+大尺寸精密陶瓷成型烧结、氮化铝基板技术均在研；仅有对关联方武汉衍熙(声表器件)2.85万元,驳回-证据不足,B2/D4方向真实但未到量产：研发支出项目'封装管壳400G传输技术'(403.7万元)+大尺寸精密陶瓷成型烧结、氮化铝基板技术均在研；仅有对关联方武汉衍熙(声表器件)2.85万元陶瓷管壳销售，非光通信客户且金额极小。可,2026-07-26
水晶光电+C4+002273__em_水晶光电_em__2025_2025年年度报告.pdf,水晶光电,C4,扫描,D7候选：CPO共封装硅透镜/微透镜阵列研发项目状态为'开发中'，目标满足800G/1.6T光模块需求，尚无量产出货。可重启条件：CPO硅透镜产品量产或出货披露（届时D7直接可入）,驳回-证据不足,D7候选：CPO共封装硅透镜/微透镜阵列研发项目状态为'开发中'，目标满足800G/1.6T光模块需求，尚无量产出货。可重启条件：CPO硅透镜产品量产或出货披露（届时D7直接可入）,2026-07-26
永新光学+EQ2+603297__em_永新光学_em__2025_宁波永新光学股份有限公司202,永新光学,EQ2,扫描,EQ2命中为向光刻/量检测设备厂供应光学部组件并切入光刻机对准/照明系统，属设备零部件供应商且为半导体应用，非光通信设备整机，设备格加严不入,驳回-非本格,EQ2命中为向光刻/量检测设备厂供应光学部组件并切入光刻机对准/照明系统，属设备零部件供应商且为半导体应用，非光通信设备整机，设备格加严不入,2026-07-26
永鼎股份+C1+600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.p,永鼎股份,C1,扫描,"""推进70mW、100mWCW-DFB及100GEML产品的批量化生产与性能迭代""",已入点,"入2格:C1,D11",2026-07-26
汇创达+ANY+300909__em_汇创达_em__2025_2025年年度报告.pdf,汇创达,ANY,扫描,命中为'键盘背光模块自动贴装设备'，背光模组语义撞词，与光通信无关,驳回-非本格,命中为'键盘背光模块自动贴装设备'，背光模组语义撞词，与光通信无关,2026-07-26
汇源通信+ANY+000586__em_汇源通信_em__2025_2025年年度报告.pdf,汇源通信,ANY,扫描,塑料光纤工控光器件(100兆以内)且语料自证'非应用数据中心及AI算力等所需高速光模块'，异域自我否认,驳回-非本格,塑料光纤工控光器件(100兆以内)且语料自证'非应用数据中心及AI算力等所需高速光模块'，异域自我否认,2026-07-26
汇绿生态+ANY+001267__em_汇绿生态_em__2025_2025年年度报告.pdf,汇绿生态,ANY,扫描,"实体归并:武汉钧恒(并表子公司)已在册MOD1/D12,母公司不重复立点",驳回-碰撞,"实体归并:并表子公司武汉钧恒已在册MOD1/D12,母公司不重复立点(名不同于在册名,故记碰撞而非已入点)",2026-07-26
江丰电子+EQ2+300666__em_江丰电子_em__2025_2025年年度报告.pdf,江丰电子,EQ2,扫描,M3候选：超高纯溅射靶材批量应用于存储芯片制造商，刻蚀机命中为其精密零部件所服务的设备品类；全语料无光芯片/光通信应用自述（相邻能力观察）。可重启条件：披露靶材/零部件进入光芯片或,驳回-证据不足,M3候选：超高纯溅射靶材批量应用于存储芯片制造商，刻蚀机命中为其精密零部件所服务的设备品类；全语料无光芯片/光通信应用自述（相邻能力观察）。可重启条件：披露靶材/零部件进入光芯片或光模块产线,2026-07-26
